label,case,n,preparation,execution,coordination,limit,timing_samples,median_ms,owner_peak_MiB,tree_peak_MiB,referenced_binary_peak_MiB,requests_MiB,responses_MiB,fan_in_prepared,max_prepared,facts,edges
foundation,deep,128,eager,task,legacy,64,3,29.379,4.553,4.553,0.039,3.533,5.995,128,128,642,1302
foundation,deep,512,bounded,inline,legacy,64,3,177.723,9.147,9.147,0.325,14.111,23.967,507,64,2562,5142
foundation,deep,512,bounded,task,legacy,64,3,201.538,9.253,9.253,0.092,14.132,23.989,511,64,2562,5142
foundation,deep,512,eager,inline,legacy,64,3,101.543,7.627,7.627,0.231,14.137,23.994,512,512,2562,5142
foundation,deep,512,eager,task,legacy,64,3,112.189,9.433,9.433,0.292,14.137,23.994,512,512,2562,5142
foundation,latency,128,eager,inline,legacy,64,3,392.705,,,,,,128,128,258,523
foundation,latency,128,eager,peer_tcp,legacy,64,3,162.889,,,,,,128,128,258,523
foundation,latency,128,eager,task,legacy,64,3,55.595,,,,,,128,128,258,523
foundation,latency,512,eager,inline,legacy,64,3,1570.773,,,,,,512,512,1026,2059
foundation,latency,512,eager,peer_tcp,legacy,64,3,393.099,,,,,,512,512,1026,2059
foundation,latency,512,eager,task,legacy,64,3,224.553,,,,,,512,512,1026,2059
foundation,repeated,128,bounded,inline,legacy,64,3,55.119,7.284,7.284,0.087,5.588,9.384,500,64,1032,2065
foundation,repeated,128,bounded,task,legacy,64,3,65.186,4.856,4.856,0.082,5.594,9.39,501,64,1032,2065
foundation,repeated,128,eager,inline,legacy,64,3,39.9,9.128,9.128,0.188,5.651,9.451,512,128,1032,2065
foundation,repeated,128,eager,task,legacy,64,3,48.585,4.856,4.856,0.114,5.651,9.451,512,128,1032,2065
foundation,repeated,512,bounded,inline,legacy,64,3,382.196,10.661,10.661,0.33,22.496,37.701,2031,64,4104,8209
foundation,repeated,512,bounded,task,legacy,64,3,463.282,21.561,21.561,0.152,22.585,37.796,2048,64,4104,8209
foundation,repeated,512,eager,inline,legacy,64,3,160.975,12.483,12.483,0.363,22.585,37.796,2048,512,4104,8209
foundation,repeated,512,eager,task,legacy,64,3,198.448,13.411,13.411,0.224,22.585,37.796,2048,512,4104,8209
foundation,slow_first,128,eager,inline,legacy,64,3,21.292,,,,,,128,128,258,523
foundation,slow_first,128,eager,peer_tcp,legacy,64,3,121.965,,,,,,128,128,258,523
foundation,slow_first,128,eager,task,legacy,64,3,22.611,,,,,,128,128,258,523
foundation,slow_first,512,eager,inline,legacy,64,3,51.226,,,,,,512,512,1026,2059
foundation,slow_first,512,eager,peer_tcp,legacy,64,3,230.886,,,,,,512,512,1026,2059
foundation,slow_first,512,eager,task,legacy,64,3,59.776,,,,,,512,512,1026,2059
foundation,stream,128,bounded,inline,legacy,64,3,10.458,1.063,1.063,0.016,1.411,2.361,128,64,258,523
foundation,stream,128,bounded,task,legacy,64,3,15.233,1.738,1.738,0.009,1.339,2.283,114,64,258,523
foundation,stream,128,eager,inline,legacy,64,3,9.557,1.063,1.063,0.007,1.411,2.361,128,128,258,523
foundation,stream,128,eager,task,legacy,64,3,10.957,1.733,1.749,0.028,1.411,2.361,128,128,258,523
foundation,stream,512,bounded,inline,legacy,64,3,78.049,7.285,7.285,0.102,5.64,9.44,512,64,1026,2059
foundation,stream,512,bounded,task,legacy,64,3,107.765,9.247,9.247,0.092,5.64,9.44,512,64,1026,2059
foundation,stream,512,eager,inline,legacy,64,3,37.303,4.502,4.502,0.032,5.64,9.44,512,512,1026,2059
foundation,stream,512,eager,task,legacy,64,3,38.952,4.588,4.604,0.12,5.64,9.44,512,512,1026,2059
foundation,sum,128,bounded,inline,legacy,64,3,12.452,2.783,2.783,0.014,1.411,2.361,128,64,258,523
foundation,sum,128,bounded,task,legacy,64,3,16.618,1.508,1.52,0.019,1.411,2.361,128,64,258,523
foundation,sum,128,eager,inline,legacy,64,3,9.745,1.72,1.72,0.022,1.411,2.361,128,128,258,523
foundation,sum,128,eager,peer_tcp,legacy,64,3,118.187,,,,,,128,128,258,523
foundation,sum,128,eager,task,legacy,64,3,12.584,1.523,1.529,0.004,1.411,2.361,128,128,258,523
